timestamp_s,altitude_m,simulated_altitude_m
48.5,1286,226.458195
48.6,1278,210.610675
48.7,1270,194.750554
48.9,1255,162.99325
49.1,1241,131.188263
49.3,1227,99.337529
49.4,1220,83.395538
49.6,1205,51.479529
49.7,1197,35.505939
49.8,1189,19.522241
50.2,1158,0
50.3,1150,0
50.5,1134,0
50.6,1126,0
50.7,1119,0
50.9,1104,0
51.1,1090,0
51.2,1083,0
51.3,1076,0
51.4,1069,0
51.5,1061,0
51.6,1053,0
51.7,1045,0
52,1022,0
52.2,1007,0
52.3,999,0
52.4,991,0
52.5,984,0
52.7,969,0
52.8,962,0
52.9,955,0
53,947,0
53.1,940,0
53.4,918,0
53.5,911,0
53.6,904,0
53.7,896,0
53.8,888,0
53.9,880,0
54,872,0
54.3,849,0
54.4,841,0
54.5,833,0
54.6,825,0
54.9,803,0
55.3,773,0
55.4,766,0
55.6,751,0
55.7,743,0
55.8,736,0
56,721,0
56.2,705,0
56.3,698,0
56.4,690,0
56.5,682,0
56.8,660,0
56.9,653,0
57,645,0
57.1,638,0
57.2,631,0
57.3,624,0
57.5,609,0
57.6,601,0
57.7,593,0
57.8,585,0
57.9,578,0
58,570,0
58.2,555,0
58.3,547,0
58.4,540,0
58.5,533,0
58.6,526,0
58.7,519,0
58.9,504,0
59,497,0
59.1,490,0
59.3,475,0
59.4,467,0
59.6,452,0
59.7,444,0
59.8,436,0
59.9,428,0
60,421,0
60.2,406,0
60.5,384,0
60.6,377,0
60.7,370,0
60.8,363,0
60.9,355,0
61,348,0
61.1,341,0
61.3,326,0
61.4,318,0
61.5,310,0
61.6,303,0
61.7,295,0
61.9,280,0
62,273,0
62.2,257,0
62.3,250,0
62.4,243,0
62.6,229,0
62.9,208,0
63,200,0
63.1,193,0
63.3,177,0
63.4,170,0
63.5,163,0
63.8,140,0
63.9,133,0
64,126,0
64.1,118,0
64.2,111,0
64.3,104,0
64.4,97,0
64.6,83,0
64.9,61,0
65,54,0
65.1,47,0
65.3,32,0
